Android-inspired jumpsuit with built-in holographic interface, Madam, Average Height, in shape, Heart-Shaped Face, Olive Skin, White Hair, dark brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Waterfall Braid,  black metallic lipstick  
pilot uniform, Madame, Tall, Lean, Oval Face, Olive Skin, Strawberry Blonde Hair, pink Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Bob with Bangs,  augmented bodyparts, grape stain  lipstick  
Holographic jumpsuit with morphing geometric shapes, Escort, Tall, Thin, Diamond-Shaped Face, Fair Skin, Black Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid,  green matte  lipstick  
Adaptive nano-fiber suits, Seductress, Short, Narrow Hips, Heart-Shaped Face, Fair Skin, Black Hair, red Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Wavy Hair, Straight Updo,   light pink metallic  lipstick  
Epic armor adorned with pulsating gemstones, Madame, Tall, Athletic, Square Face, Fair Skin, White Hair, silver Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Loose Waves,  red gloss  lipstick  
Futuristic bodysuit with pulsating neon lights, Escort, Short, Narrow Hips, Round Face, Dark Skin, Golden Blonde Hair, silver Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Dutch Braid,  augmented bodyparts, teal stain  lipstick  
Exosuit with built-in helmet, Temptress, Average Height, Athletic, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, aquamarine Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Sleek Straight Hair,   peach gloss  lipstick  
Holographic projection suits, Belle, Average Height, in shape, Diamond-Shaped Face, Fair Skin, Light Brown Hair, red Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Viking Braid,  augmented bodyparts, burgundy cream  lipstick  
Chromatic suit with liquid metal textures, Vixen, Average Height, Toned, Oval Face, Fair Skin, Blonde Hair, pink Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Afro,  violet cream  lipstick  
Robotic exoskeleton with glowing energy cores, Gal, Short, Thin, Diamond-Shaped Face, Tan Skin, Chestnut Hair, Brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs,  green metallic  lipstick  
Leather jumpsuit with built-in mask, Madam, Tall, Wide Hips, Round Face, Olive Skin, Brunette Hair, jade Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Stacked Bob,  green metallic  lipstick  
Nanotech suits, Escort, Short, Skinny, Round Face, Dark Skin, Golden Blonde Hair, light blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Twisted Bun,  beige gloss  lipstick  
Nanotech suits, Femme fatale, Tall, Athletic, Oval Face, Olive Skin, Light Brown Hair, Brown Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Braided Half Up,  fuchsia cream  lipstick  
Futuristic trench coat with glowing accents, Escort, Tall, Firm, Diamond-Shaped Face, Tan Skin, Blonde Hair, turquoise Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Top Knot,  light pink sheer  lipstick  
Leather jumpsuit with built-in mask, Female Warrior, Average Height, Wide Hips, Square Face, Fair Skin, Gray Hair, dark brown Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Dutch Braid,  terracotta velvet  lipstick  
Gossamer gown adorned with crystalline embellishments, Vixen, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, green Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Angled Bob,  cherry stain  lipstick  
Holographic jumpsuit with morphing geometric shapes, Female Warrior, Average Height, Firm, Round Face, Tan Skin, Golden Blonde Hair, blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Ballerina Bun,  gloss satin  lipstick  
Holographic jumpsuits with iridescent threading that change color with movement, Trailblazer, Short, Athletic, Heart-Shaped Face, Dark Skin, Blonde Hair, teal Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Shoulder-Length Curls,  violet satin  lipstick  
Molecular fabric jumpsuit that changes color based on emotions, Femme fatale, Average Height, Slim, Round Face, Fair Skin, White Hair, ruby Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Bangs with Highlights,  brown velvet  lipstick  
Slim-fit armor suit with built-in wings, Baroness, Tall, Toned, Heart-Shaped Face, Fair Skin, Light Brown Hair, red Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Side French Braid,  golden matte  lipstick  
Enigmatic robe woven with celestial symbols, Mistress, Tall, Thin, Heart-Shaped Face, Olive Skin, Strawberry Blonde Hair, grey Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Straight Bob,  gloss matte  lipstick  
Robotic exoskeleton with glowing energy cores, Female Viking, Short, Wide Hips, Square Face, Olive Skin, Brunette Hair, jade Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Long Wavy Hair,  berry sheer  lipstick  
Interplanetary diplomat attire with intricate alien cultural motifs, Artist, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Auburn Hair, Amber Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Waterfall Braid,  peach cream  lipstick  
Shimmering jumpsuit with angular cuts, Empress, Short, in shape, Square Face, Tan Skin, Blonde Hair, light blue Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Top Knot,  orange velvet  lipstick  
Interstellar explorer suit, Queen, Short, Lean, Triangular Face, Fair Skin, Red Hair, gold Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Beach Waves,  lavender cream  lipstick  
Mysterious cloak made of interwoven shadow fabric, Woman, Average Height, Lean, Triangular Face, Fair Skin, Brunette Hair, red Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Long Curly Hair,  burgundy satin  lipstick  
Energy-infused outfit with glowing runic symbols, Vixen, Short, Firm, Triangular Face, Fair Skin, Brunette Hair, light blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Boho Braid,  grape matte  lipstick  
Holographic projection suits, Mistress, Short, Lean, Round Face, Dark Skin, White Hair, teal Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Wavy Bob,   rust sheer  lipstick  
Energy shielding suits, Starlet, Average Height, Firm, Oval Face, Fair Skin, Auburn Hair, gold Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down,  coral metallic  lipstick  
Cybernetic armor with built-in oxygen tank, Dame, Average Height, Wide Hips, Round Face, Dark Skin, Gray Hair, aquamarine Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Braided Updo,  rose gloss  lipstick  
Futuristic bodysuit with pulsating neon lights, Maven, Tall, Firm, Diamond-Shaped Face, Tan Skin, Blonde Hair, teal Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Blunt Cut Bangs,  violet satin  lipstick  
Mystical garment with shifting color gradients, Belle, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Silver Hair, dark brown Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Straight Bob with Layers,  fuchsia sheer  lipstick  
Galactic empress gown with celestial-themed embroidery, Temptress, Tall, Narrow Hips, Round Face, Tan Skin, Dark Brown Hair, black Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband,  grape matte  lipstick  
Futuristic trench coat with glowing accents, Artist, Average Height, Firm, Round Face, Olive Skin, Dark Brown Hair, Gray Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Low Messy Bun,  cherry gloss  lipstick  
Augmented reality suits, Trailblazer, Average Height, Skinny, Square Face, Fair Skin, Silver Hair, grey-blue Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Waterfall Braid,  berry sheer  lipstick  
Android-inspired jumpsuit with built-in holographic interface, Temptress, Tall, Athletic, Square Face, Fair Skin, Gray Hair, red Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Short Afro,  soft pink velvet  lipstick  
Glow-in-the-dark catsuit with detachable hood, Trailblazer, Tall, Firm, Oval Face, Dark Skin, Platinum Blonde Hair, yellow Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Side-Swept Bangs,  soft pink stain  lipstick  
Space suit, Vixen, Short, Skinny, Round Face, Olive Skin, Silver Hair, dark brown Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Bob with Bangs,   peach velvet  lipstick  
Nanofiber bodysuit with integrated bioluminescent patterns, Dame, Short, Firm, Heart-Shaped Face, Fair Skin, Red Hair, peach Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Herringbone Braid,  green matte  lipstick  
Geminfused bodysuit, Gal, Short, Slim, Triangular Face, Tan Skin, White Hair, peach Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Swept Bangs,  grape matte  lipstick  
Galactic empress gown with celestial-themed embroidery, Madame, Short, Athletic, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Updo,  green sheer  lipstick  
Aero-dynamic flight suit with wing-like attachments, Heiress, Tall, in shape, Round Face, Dark Skin, Dark Brown Hair, Amber Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Curly Hair, Dutch Braid,  terracotta metallic  lipstick  
Epic armor adorned with pulsating gemstones, Lady, Tall, Toned, Square Face, Olive Skin, Dark Brown Hair, Blue Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Half Up,  beige stain  lipstick  
Interplanetary diplomat attire with intricate alien cultural motifs, Duchess, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, green Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Straight Hair, Bangs with Highlights,  augmented bodyparts, gloss velvet  lipstick  
Alien advanced cloak, Superwoman, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Brunette Hair, coral Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob,  peach metallic  lipstick  
Interstellar explorer suit, Babe, Short, Lean, Round Face, Dark Skin, Dark Brown Hair, aquamarine Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Headband,  hot pink metallic  lipstick  
pilot uniform, Chanteuse, Average Height, Narrow Hips, Square Face, Fair Skin, Golden Blonde Hair, ruby Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Curly Hair, Braided Half Up,  peach matte  lipstick  
Futuristic bodysuit with pulsating neon lights, Belle, Short, Fit, Heart-Shaped Face, Olive Skin, White Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, High Chignon,  grape metallic  lipstick  
Extraterrestrial suit with prismatic light reflections, Chanteuse, Average Height, Wide Hips, Round Face, Dark Skin, Gray Hair, Amber Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Wavy Bob,  burgundy sheer  lipstick  
Alien advanced cloak, Starlet, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Golden Blonde Hair, black Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Stacked Bob,  rose matte  lipstick  
Holographic jumpsuits with iridescent threading that change color with movement, Babe, Tall, in shape, Oval Face, Olive Skin, Chestnut Hair, Sapphire Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair,  cherry metallic  lipstick  
Enigmatic robe woven with celestial symbols, Female Viking, Tall, in shape, Square Face, Olive Skin, Platinum Blonde Hair, teal Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Curly Hair, Tousled Waves,  lavender satin  lipstick  
Energy shielding suits, Queen, Short, Skinny, Triangular Face, Dark Skin, Brunette Hair, coral Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Straight Bob with Layers,  golden matte  lipstick  
Alien advanced cloak, Superwoman, Short, Firm, Round Face, Tan Skin, Blonde Hair, jade Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Middle Part Bangs,  orange satin  lipstick  
Regal suit with gemstone-encrusted lapels, Dame, Short, Skinny, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Low Updo,  teal gloss  lipstick  
Elaborate tunic and pants in iridescent hues, Phenom, Average Height, Athletic, Triangular Face, Dark Skin, Gray Hair, peach Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Wedding Updo,  brown sheer  lipstick  
Sleek metallic jumpsuit with luminescent accents, Sensation, Short, Lean, Round Face, Fair Skin, Chestnut Hair, ruby Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Straight Bob,  red satin  lipstick  
Aero-dynamic flight suit with wing-like attachments, Countess, Average Height, Thin, Triangular Face, Fair Skin, Blonde Hair, ice blue Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Swept Bangs,  cherry sheer  lipstick  
Interstellar explorer suit, Belle, Average Height, Firm, Triangular Face, Fair Skin, White Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, Messy Beach Waves,  burgundy matte  lipstick  
Sculpted armor in shimmering pearl shades, Empress, Average Height, Wide Hips, Square Face, Dark Skin, Golden Blonde Hair, black Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, French Roll,  plum metallic  lipstick  
Enchanted tunic and leggings with intricate crystal patterns, Songstress, Short, Lean, Triangular Face, Tan Skin, Strawberry Blonde Hair, blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Angled Bob,  augmented bodyparts, rose velvet  lipstick  
Epic armor adorned with pulsating gemstones, Enchantress, Average Height, Wide Hips, Oval Face, Tan Skin, Platinum Blonde Hair, light blue Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Boho Braid,  augmented bodyparts, hot pink matte  lipstick  
Galactic empress gown with celestial-themed embroidery, Queen, Short, Athletic, Diamond-Shaped Face, Dark Skin, Gray Hair, Hazel Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Loose Waves,   terracotta satin  lipstick  
Extraterrestrial suit with prismatic light reflections, Mistress, Short, Toned, Round Face, Fair Skin, Black Hair, Hazel Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Messy Beach Waves,  hot pink matte  lipstick  
Adaptive nano-fiber suits, Countess, Average Height, Fit, Diamond-Shaped Face, Dark Skin, Brunette Hair, amethyst Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Straight Bob,  cream satin  lipstick  
Enigmatic robe woven with celestial symbols, Charmer, Tall, Slim, Triangular Face, Olive Skin, Strawberry Blonde Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Wavy Hair, Short Afro,  terracotta stain  lipstick  
Regal suit with gemstone-encrusted lapels, Heiress, Average Height, Fit, Oval Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Half Up Half Down,  red gloss  lipstick  
Cosmic princess gown with LED constellations, Enigma, Average Height, Lean, Oval Face, Dark Skin, Golden Blonde Hair, Amber Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Donut Bun,  augmented bodyparts, green cream  lipstick  
Geminfused bodysuit, Seductress, Tall, Narrow Hips, Square Face, Fair Skin, Brunette Hair, dark brown Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Fine Hair, Triple Braided Crown,  beige velvet  lipstick  
Hooded cloak with bioluminescent patterns, Madam, Average Height, Firm, Triangular Face, Olive Skin, Light Brown Hair, green Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Beach Waves,  golden matte  lipstick  
Energy-infused outfit with glowing runic symbols, Enchantress, Short, Skinny, Oval Face, Dark Skin, Blonde Hair, aquamarine Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Waterfall Braid,  teal sheer  lipstick  
Interstellar explorer suit, Enigma, Average Height, in shape, Square Face, Tan Skin, Auburn Hair, pink Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Fine Hair, Long Curled Updo,  augmented bodyparts, grape gloss  lipstick  
Robotic exosuit with integrated AI assistant, Temptress, Tall, Athletic, Oval Face, Dark Skin, Brunette Hair, dark brown Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair,  choppy bob,  orange matte  lipstick  
exoskeleton suit, Superwoman, Tall, Firm, Triangular Face, Olive Skin, Brunette Hair, silver Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Side French Braid,  augmented bodyparts, berry matte  lipstick  
Interstellar explorer suit, Songstress, Average Height, Athletic, Oval Face, Olive Skin, Honey Blonde Hair, grey Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Long Curly Hair,   peach stain  lipstick  
Quantum entanglement suits, Duchess, Short, in shape, Oval Face, Tan Skin, Black Hair, grey-blue Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Double Braided Crown,  berry satin  lipstick  
Extravagant robe featuring ethereal nebula patterns, Starlet, Tall, in shape, Round Face, Fair Skin, Honey Blonde Hair, silver Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Braided Crown,  magenta satin  lipstick  
Energy-infused outfit with glowing runic symbols, Charmer, Tall, Skinny, Oval Face, Fair Skin, Auburn Hair, amethyst Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Wavy Hair, Tapered Afro,  hot pink gloss  lipstick  
Android-inspired jumpsuit with built-in holographic interface, Siren, Short, Firm, Oval Face, Olive Skin, Strawberry Blonde Hair, silver Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Short Afro,  burgundy velvet  lipstick  
exoskeleton suit, Diva, Average Height, Slim, Round Face, Dark Skin, Strawberry Blonde Hair, blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Bob with Bangs,  peach sheer  lipstick  
Futuristic trench coat with glowing accents, Maven, Tall, Narrow Hips, Triangular Face, Tan Skin, Chestnut Hair, Brown Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Messy Beach Waves,  augmented bodyparts, plum velvet  lipstick  
Extraterrestrial suit with prismatic light reflections, Chanteuse, Short, in shape, Square Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Braided Updo,  plum stain  lipstick  
Exotic ensemble with metallic scale-like textures, Queen, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, French Twist,  light pink sheer  lipstick  
Slim-fit armor suit with built-in wings, Female Viking, Average Height, Lean, Square Face, Tan Skin, Strawberry Blonde Hair, amber Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair,  cream satin  lipstick  
Holographic jumpsuits with iridescent threading that change color with movement, Madam, Average Height, in shape, Round Face, Olive Skin, Chestnut Hair, silver Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Short Afro,  teal velvet  lipstick  
Extraterrestrial suit with prismatic light reflections, Queen, Tall, Thin, Triangular Face, Dark Skin, Dark Brown Hair, gold Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Blunt Bangs,  mauve cream  lipstick  
Molecular fabric jumpsuit that changes color based on emotions, Temptress, Short, Athletic, Oval Face, Dark Skin, Black Hair, amethyst Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Sleek Bun,  soft pink gloss  lipstick  
Alien ambassador ensemble, Madame, Tall, in shape, Square Face, Tan Skin, Auburn Hair, brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Dutch Braid,  gloss metallic  lipstick  
Energy shielding suits, Diva, Short, Lean, Diamond-Shaped Face, Dark Skin, Light Brown Hair, Hazel Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Short Afro,  augmented bodyparts, green metallic  lipstick  
Galactic empress gown with celestial-themed embroidery, Countess, Tall, Athletic, Round Face, Tan Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Top Knot,  plum sheer  lipstick  
Holographic jumpsuits with iridescent threading that change color with movement, Songstress, Average Height, Wide Hips, Square Face, Olive Skin, Honey Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Braided Updo,  fuchsia sheer  lipstick  
Leather jumpsuit with built-in mask, Femme fatale, Short, in shape, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, silver Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Low Chignon,  green metallic  lipstick  
Mysterious cloak made of interwoven shadow fabric, Empress, Tall, Lean, Round Face, Tan Skin, Dark Brown Hair, brown Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Stacked Bob,   fuchsia gloss  lipstick  
Alien ambassador ensemble, Duchess, Tall, Slim, Round Face, Fair Skin, Golden Blonde Hair, brown Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Double Braided Crown,   fuchsia satin  lipstick  
Energy shielding suits, Sensation, Average Height, Narrow Hips, Square Face, Tan Skin, Black Hair, Brown Eyes with Green Flecks, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Dutch Braid,  augmented bodyparts, mauve cream  lipstick  
Shimmering jumpsuit with angular cuts, Chanteuse, Average Height, Narrow Hips, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Straight Updo,  fuchsia cream  lipstick  
Space suit, Goddess, Tall, Fit, Round Face, Olive Skin, Brunette Hair, hazel Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, Afro,  gloss matte  lipstick  
Gossamer gown adorned with crystalline embellishments, Woman, Short, Toned, Round Face, Olive Skin, Red Hair, gold Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Short Afro,  rust matte  lipstick  
Elegant dress with holographic lacework, Queen, Average Height, Narrow Hips, Round Face, Dark Skin, Black Hair, yellow Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Wavy Hair, Long Wavy Hair,  hot pink satin  lipstick  
Extraterrestrial suit with prismatic light reflections, Songstress, Tall, Slim, Diamond-Shaped Face, Tan Skin, Brunette Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Bangs with Highlights,  golden metallic  lipstick  
Galactic empress gown with celestial-themed embroidery, Female Warrior, Average Height, Lean, Round Face, Olive Skin, Brunette Hair, Blue Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Braided Updo,  coral cream  lipstick  
Regal suit with gemstone-encrusted lapels, Phenom, Average Height, Athletic, Heart-Shaped Face, Dark Skin, Red Hair, ruby Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Coarse Hair, Top Knot,  augmented bodyparts, rust velvet  lipstick  
pilot uniform, Female Viking, Short, Thin, Triangular Face, Olive Skin, Black Hair, amethyst Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Messy Bun,  orange matte  lipstick  
Hyperdimensional fabric jumpsuits, Female Warrior, Tall, Athletic, Round Face, Tan Skin, Brunette Hair, Blue Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Twisted Bun,  cream satin  lipstick  
Extravagant robe featuring ethereal nebula patterns, Luminary, Average Height, Toned, Triangular Face, Tan Skin, Chestnut Hair, amber Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fishbone Braid,  burgundy cream  lipstick  
Interplanetary diplomat attire with intricate alien cultural motifs, Goddess, Tall, Firm, Heart-Shaped Face, Olive Skin, Platinum Blonde Hair, Hazel Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Side French Braid,  rose satin  lipstick  
Extravagant cloak with iridescent feathers, Belle, Average Height, Skinny, Heart-Shaped Face, Dark Skin, Blonde Hair, coral Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Curly Hair, Formal Updo,  augmented bodyparts, burgundy sheer  lipstick  
Extraterrestrial suit with prismatic light reflections, Sensation, Average Height, Thin, Square Face, Dark Skin, Silver Hair, peach Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Beach Waves,  lavender stain  lipstick  
Holographic projection suits, Artist, Short, Slim, Oval Face, Olive Skin, Dark Brown Hair, dark brown Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Updo,  golden matte  lipstick  
Adaptive nano-fiber suits, Duchess, Short, Thin, Triangular Face, Olive Skin, Silver Hair, amber Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Curly Afro,  brown sheer  lipstick  
Alien ambassador ensemble, Femme fatale, Average Height, Fit, Oval Face, Fair Skin, Red Hair, Amber Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Straight Bob with Layers,  lavender sheer  lipstick  
Elaborate tunic and pants in iridescent hues, Phenom, Average Height, Slim, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, amethyst Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Wavy Hair, Chignon,  rust sheer  lipstick  
Robotic exosuit with integrated AI assistant, Babe, Average Height, Fit, Heart-Shaped Face, Fair Skin, Dark Brown Hair, Amber Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Triple Braided Crown,   plum gloss  lipstick  
Flowing robe with shimmering ethereal patterns, Trailblazer, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Light Brown Hair, black Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Tousled Waves,  lavender cream  lipstick  
